Crime Category,Anuradhapura,Ampara,Badulla (Badulla & Bandarawela ),Batticaloa,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",Galle (Galle/ Elpitiya),Gampaha (Kelaniya/Gampha/Negombo Div),"Jaffna(Jaffna, KKS)","Kalutara (Kalutara,Panadura)","Kandy (Kandy, Gampola)","Kegalle (Kegalle, Sithawakapura0","Kilinochchi (Kilinochchi, Mankulam )","Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",Mannar,Matale,Matara,Monaragala,Mulllativu,"Nuwara Eliya (Hatton, Nuwara Eliya )",Polonnaruwa,"Puttlam (Puttlam, Chilaw )",Ratnapura,Hambanthota (Tangalle ),"Trincomalee (Kantale, Trincomalee )",Vavuniya,Total
Abduction / Kidnapping,51,16,26,21,108,60,96,31,66,54,48,0,65,9,21,66,17,0,13,23,39,45,43,13,8,939
Arson,21,41,18,30,30,36,55,6,33,23,43,0,96,3,17,23,16,0,8,43,38,41,38,8,6,673
Mischief  over Rs.5000/=,92,37,27,45,164,65,146,24,54,77,83,2,183,6,25,33,31,0,49,43,58,69,44,36,10,1403
H.B. & Theft,720,241,402,237,3649,867,3664,191,1241,856,962,18,1343,33,196,493,258,2,283,375,621,1014,362,227,89,18344
Grevious  Hurt,135,98,68,39,149,83,143,46,46,117,66,7,77,14,28,27,23,0,53,47,23,100,33,57,16,1495
Hurt  by Knife etc.,69,73,86,69,345,146,382,80,149,196,272,17,254,23,84,104,41,0,58,101,120,154,87,57,24,2991
Homicide/Abet. To commit suicide,33,19,19,9,76,48,83,28,47,24,36,9,57,4,15,29,22,1,14,10,34,64,43,9,8,741
Attempted Homicide,13,7,16,5,17,22,17,3,13,9,16,1,17,1,9,6,10,1,7,9,13,19,10,5,2,248
Rape / Incest,117,47,54,40,87,128,159,39,90,92,78,9,164,13,58,87,57,2,2,78,95,135,77,32,25,1765
Riot,2,0,6,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,20
Robbery,239,45,79,69,1436,490,1345,93,388,182,305,28,453,14,66,151,80,2,52,93,167,350,216,33,64,6440
Unnatural Offence/Grve Sexual Abuse,23,14,39,9,25,27,11,1,31,42,29,0,60,0,12,8,22,0,13,14,27,56,24,19,4,510
Extortion,1,0,0,5,21,1,17,2,0,5,1,6,17,0,0,0,1,0,4,2,4,2,1,1,3,94
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=",43,42,3,10,281,334,68,14,74,418,31,3,197,3,57,7,48,1,44,19,32,255,51,11,109,2155
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value,425,187,164,269,3287,472,2106,324,767,539,528,119,1030,69,138,239,136,8,143,219,447,463,252,215,135,12681
Counterfeiting Currency,3,0,0,1,12,2,5,1,0,1,0,0,2,0,0,2,0,0,0,0,0,1,0,1,0,31
Offences against  State,0,1,0,4,2,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,12
Cruelty to Children & sexual  exploitation of children,27,2,6,10,33,25,59,6,32,19,14,3,15,2,2,13,0,1,12,30,7,3,4,5,10,340
Procuration / Trafficking,0,2,0,1,4,1,2,0,0,0,3,0,1,0,0,5,0,0,0,27,0,3,1,1,0,51
Offences  under the  Offensive weapons Act.,10,13,2,16,38,23,23,5,12,6,3,7,15,1,3,14,1,1,0,7,4,11,4,3,10,232
Possession of  Automatic or  Repeater Shot Guns,0,1,0,2,5,3,1,1,2,1,3,1,0,0,0,1,1,0,0,1,4,2,1,1,1,32
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000",4,6,3,0,326,55,75,1,60,16,3,8,18,3,39,19,20,0,5,5,6,21,35,7,4,739
