,Crime Category,Total,Year,Area,Crime Count
0,Abduction / Kidnapping,939,2010,Anuradhapura,51
1,Arson,673,2010,Anuradhapura,21
2,Mischief  over Rs.5000/=,1403,2010,Anuradhapura,92
3,H.B. & Theft,18344,2010,Anuradhapura,720
4,Grevious  Hurt,1495,2010,Anuradhapura,135
5,Hurt  by Knife etc.,2991,2010,Anuradhapura,69
6,Homicide/Abet. To commit suicide,741,2010,Anuradhapura,33
7,Attempted Homicide,248,2010,Anuradhapura,13
8,Rape / Incest,1765,2010,Anuradhapura,117
9,Riot,20,2010,Anuradhapura,2
10,Robbery,6440,2010,Anuradhapura,239
11,Unnatural Offence/Grve Sexual Abuse,510,2010,Anuradhapura,23
12,Extortion,94,2010,Anuradhapura,1
13,"Cheating/Misappropriation C.B. Trust over Rs.100,000/=",2155,2010,Anuradhapura,43
14,Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value,12681,2010,Anuradhapura,425
15,Counterfeiting Currency,31,2010,Anuradhapura,3
16,Offences against  State,12,2010,Anuradhapura,0
17,Cruelty to Children & sexual  exploitation of children,340,2010,Anuradhapura,27
18,Procuration / Trafficking,51,2010,Anuradhapura,0
19,Offences  under the  Offensive weapons Act.,232,2010,Anuradhapura,10
20,Possession of  Automatic or  Repeater Shot Guns,32,2010,Anuradhapura,0
21,"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000",739,2010,Anuradhapura,4
22,Abduction / Kidnapping,1029,2011,Anuradhapura,61
23,Arson,529,2011,Anuradhapura,21
24,Mischief  over Rs.5000/=,1134,2011,Anuradhapura,79
25,H.B. & Theft,17023,2011,Anuradhapura,671
26,Grevious  Hurt,1716,2011,Anuradhapura,81
27,Hurt  by Knife etc.,2918,2011,Anuradhapura,63
28,Homicide/Abet. To commit suicide,720,2011,Anuradhapura,44
29,Attempted Homicide,211,2011,Anuradhapura,5
30,Rape / Incest,1775,2011,Anuradhapura,155
31,Riot,27,2011,Anuradhapura,0
32,Robbery,6231,2011,Anuradhapura,215
33,Unnatural Offence/Grve Sexual Abuse,510,2011,Anuradhapura,31
34,Extortion,129,2011,Anuradhapura,0
35,"Cheating/Misappropriation C.B. Trust over Rs.100,000/=",5896,2011,Anuradhapura,228
36,Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value,11819,2011,Anuradhapura,463
37,Counterfeiting Currency,40,2011,Anuradhapura,4
38,Offences against  State,4,2011,Anuradhapura,0
39,Cruelty to Children & sexual  exploitation of children,330,2011,Anuradhapura,14
40,Procuration / Trafficking,27,2011,Anuradhapura,1
41,Offences  under the  Offensive weapons Act.,149,2011,Anuradhapura,4
42,Possession of  Automatic or  Repeater Shot Guns,36,2011,Anuradhapura,2
43,"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000",802,2011,Anuradhapura,2
44,Total,53055,2011,Anuradhapura,2144
45,Abduction / Kidnapping,1232,2012,Anuradhapura,68
46,Arson,585,2012,Anuradhapura,47
47,Mischief  over Rs.5000/=,1095,2012,Anuradhapura,107
48,H.B. & Theft,16759,2012,Anuradhapura,834
49,Grevious  Hurt,1726,2012,Anuradhapura,108
50,Hurt  by Knife etc.,2870,2012,Anuradhapura,72
51,Homicide/Abet. To commit suicide,645,2012,Anuradhapura,24
52,Attempted Homicide,224,2012,Anuradhapura,15
53,Rape / Incest,2188,2012,Anuradhapura,199
